iter,x,y,theta,v
0,0.5,0,1.5708,-0.0105255
1,0.5,-0.00105255,1.5705,0.0471935
2,0.500001,0.0036668,1.5469,0.10408
3,0.50025,0.0140718,1.50854,0.0648034
4,0.500653,0.0205396,1.49273,0.256847
5,0.502656,0.0461461,1.43201,0.35217
6,0.507528,0.0810245,1.32044,0.482289
7,0.519477,0.12775,1.0793,0.782289
8,0.556397,0.196719,0.840725,0.992622
9,0.622597,0.270682,1.33704,1.29262
10,0.652539,0.396428,0.713385,1.20824
11,0.7439,0.475495,0.109283,1.02702
12,0.845989,0.486696,0.219709,0.972743
13,0.940925,0.507896,-0.266483,0.72045
14,1.01043,0.488924,0.0937413,0.708125
15,1.08093,0.495552,0.120554,1.00812
16,1.18101,0.507676,-0.365744,0.91535
17,1.26649,0.474939,0.0919311,0.996616
18,1.36573,0.484089,0.00120739,1.0268
19,1.46841,0.484212,-0.51219,1.1672
20,1.57015,0.42701,-0.263506,1.10849
21,1.67717,0.398137,-0.0412179,1.01608
22,1.7787,0.39395,-0.469562,1.25191
23,1.89034,0.337302,0.140109,1.06272
24,1.99557,0.352143,-0.0526815,1.21496
25,2.1169,0.345745,0.274324,1.02931
26,2.21598,0.373629,0.179167,0.733113
27,2.28812,0.386693,0.0574647,0.523156
28,2.34034,0.389698,0.274028,0.500955
29,2.38857,0.403255,0.0235504,0.250819
30,2.41365,0.403845,0.0270694,0.420925
31,2.45572,0.404984,0.115922,0.432667
32,2.4987,0.409989,0.0408433,0.361571
33,2.53483,0.411465,-0.0682237,0.125483
34,2.54734,0.41061,-0.0909991,0.425483
35,2.58972,0.406743,-0.165229,0.673051
36,2.65611,0.395673,0.171296,0.373051
37,2.69286,0.402032,0.271657,0.156164
38,2.70791,0.406222,0.215963,-0.0841605
39,2.69969,0.404419,0.173883,-0.0854421
40,2.69127,0.402941,0.141243,0.214558
41,2.71251,0.405961,0.0969635,0.196861
42,2.73211,0.407867,-0.00146717,0.371299
43,2.76924,0.407812,-0.17895,0.0718931
44,2.77631,0.406533,-0.178275,-0.209449
45,2.7557,0.410247,-0.0989409,-0.246119
46,2.73121,0.412678,0.0241098,-0.355571
47,2.69566,0.411821,-0.153676,-0.141532
48,2.68167,0.413987,-0.143688,0.154849
49,2.697,0.41177,-0.0662634,0.336599
50,2.73059,0.409541,0.102036,0.182099
51,2.7487,0.411396,0.0981885,0.292008
52,2.77776,0.414259,0.244123,-0.00794817
53,2.77699,0.414067,0.240149,-0.307948
54,2.74708,0.406742,0.168149,-0.234869
55,2.72392,0.402811,0.277215,-0.252144
56,2.69967,0.395911,0.364708,-0.0843213
57,2.69179,0.392903,0.32364,0.21562
58,2.71224,0.39976,0.412174,0.406837
59,2.74951,0.416058,0.281683,0.337077
60,2.78189,0.425428,0.450221,0.0653319
61,2.78777,0.428271,0.482887,-0.0387259
62,2.78435,0.426473,0.493544,0.0873226
63,2.79204,0.43061,0.476466,-0.212677
64,2.77314,0.420856,0.416173,0.0826173
65,2.78069,0.424196,0.389174,0.0370182
66,2.78412,0.4256,0.394178,-0.0537374
67,2.77916,0.423536,0.376371,-0.0973807
68,2.7701,0.419957,0.391345,-0.116451
69,2.75934,0.415515,0.391398,-0.407232
70,2.72169,0.39998,0.299029,-0.387469
71,2.68466,0.388566,0.492679,-0.221919
72,2.66511,0.378069,0.603638,-0.378168
73,2.63398,0.356603,0.792722,-0.295629
74,2.61323,0.335546,0.805628,0.00437076
75,2.61353,0.335861,0.805255,0.0145788
76,2.61454,0.336913,0.802873,0.0421544
77,2.61747,0.339945,0.820755,0.305131
78,2.63827,0.36227,0.822762,0.0822871
79,2.64387,0.368302,0.819658,0.20084
80,2.65757,0.382982,0.920077,-0.0656733
81,2.65359,0.377756,0.889719,-0.0432663
82,2.65087,0.374395,0.900825,-0.28315
83,2.63329,0.352201,0.838099,-0.0741612
84,2.62833,0.346688,0.875179,-0.196677
85,2.61572,0.33159,0.896819,-0.195423
86,2.60353,0.31632,0.844477,0.0860819
87,2.60924,0.322756,0.814684,0.134313
88,2.61846,0.332527,0.769102,-0.165379
89,2.60658,0.321025,0.686441,0.0743969
90,2.61233,0.325741,0.649242,-0.16726
91,2.59901,0.315628,0.565626,0.0685557
92,2.60479,0.319302,0.547029,-0.0918341
93,2.59695,0.314526,0.501112,0.162504
94,2.6112,0.322332,0.507662,0.0358884
95,2.61434,0.324077,0.501499,-0.26409
96,2.59118,0.311381,0.614768,-0.0442717
97,2.58757,0.308828,0.636904,0.255728
98,2.60813,0.324036,0.514683,0.0219673
99,2.61004,0.325118,0.525667,0.285739
100,2.63475,0.339456,0.668536,0.262161
101,2.65533,0.355705,0.799617,0.197744
102,2.66911,0.369885,0.896844,-0.0877799
103,2.66363,0.363027,0.940699,0.00171539
104,2.66373,0.363165,0.940802,-0.215256
105,2.65105,0.345772,1.04843,-0.0238803
106,2.64986,0.343702,1.04923,-0.289617
107,2.63543,0.318591,0.90442,0.0103831
108,2.63607,0.319408,0.899364,-0.00400334
109,2.63582,0.319094,0.898249,0.267375
110,2.65248,0.340009,0.840695,-0.0089138
111,2.65188,0.339345,0.843608,0.291086
112,2.67123,0.361091,0.901879,0.234793
113,2.68579,0.37951,0.967034,0.124246
114,2.69285,0.389738,1.02916,-0.175754
115,2.68379,0.374678,0.94128,-0.327875
116,2.66448,0.348176,0.777342,-0.186991
117,2.65116,0.33506,0.870838,-0.47551
118,2.62052,0.29869,0.930383,-0.190142
119,2.60916,0.283444,0.860436,0.109858
120,2.61633,0.291772,0.806189,0.233285
121,2.63248,0.308607,0.858136,0.23509
122,2.64785,0.326395,0.956196,-0.0365129
123,2.64574,0.323412,0.974453,0.216034
124,2.65787,0.341286,1.08247,-0.0839656
125,2.65394,0.333871,1.12442,0.210471
126,2.66302,0.352856,1.22966,0.430384
127,2.67742,0.393414,1.17961,0.161616
128,2.68358,0.408355,1.18227,0.394736
129,2.69854,0.444887,1.21909,0.581367
130,2.71856,0.499465,1.35891,0.574223
131,2.73064,0.555603,1.24383,0.27452
132,2.73946,0.5816,1.37427,0.0914387
133,2.74124,0.590568,1.41787,-0.193137
134,2.7383,0.57148,1.48056,-0.316085
135,2.73545,0.54,1.6386,-0.503628
136,2.73886,0.489753,1.73342,-0.803625
137,2.75188,0.410451,1.61278,-0.661637
138,2.75465,0.344345,1.31769,-0.742362
139,2.73606,0.272474,1.68887,-0.570385
140,2.74278,0.215833,1.53554,-0.270503
141,2.74183,0.188799,1.63243,0.0294969
142,2.74165,0.191744,1.64316,0.320857
143,2.73933,0.223745,1.65409,0.214417
144,2.73754,0.245113,1.7613,0.467003
145,2.7287,0.290968,1.77864,0.537302
146,2.71761,0.343542,1.66892,0.267774
147,2.71499,0.37019,1.70057,0.0984801
148,2.71372,0.379956,1.65182,0.147653
149,2.71252,0.394673,1.60535,0.249665
150,2.71166,0.419624,1.64595,0.105412
151,2.71087,0.430136,1.59324,0.0645455
152,2.71072,0.436589,1.61191,-0.170816
153,2.71142,0.419521,1.5307,0.129184
154,2.71194,0.432429,1.51972,-0.117964
155,2.71134,0.420648,1.5787,-0.165023
156,2.71147,0.404147,1.50622,-0.190321
157,2.71024,0.385154,1.55409,-0.302572
158,2.70974,0.354901,1.59938,-0.12528
159,2.71009,0.342378,1.66202,0.100523
160,2.70918,0.352389,1.61175,0.258493
161,2.70812,0.378217,1.65384,0.137668
162,2.70698,0.391936,1.585,-0.131344
163,2.70716,0.378803,1.61148,0.108452
164,2.70672,0.389639,1.66571,-0.189874
165,2.70852,0.370737,1.73175,-0.448322
166,2.71571,0.326484,1.50759,-0.173916
167,2.71461,0.309128,1.57855,-0.0351899
168,2.71464,0.305609,1.57126,0.114525
169,2.71463,0.317061,1.62837,0.413756
170,2.71225,0.358368,1.44408,0.331613
171,2.71644,0.391264,1.57266,0.331897
172,2.71638,0.424453,1.73145,0.329806
173,2.7111,0.457009,1.89635,0.0298127
174,2.71015,0.459834,1.91126,0.00414993
175,2.71001,0.460225,1.90928,-0.256132
176,2.71852,0.436065,2.02588,0.0369597
177,2.71689,0.439385,2.04436,0.33696
178,2.70152,0.469373,2.21284,0.240358
179,2.68713,0.488622,2.20663,0.134752
180,2.67913,0.499464,2.21493,0.399294
181,2.65515,0.531392,2.17169,0.280475
182,2.63929,0.554527,2.06177,0.158828
183,2.63181,0.568533,2.03537,-0.140599
184,2.6381,0.555964,2.08872,-0.22569
185,2.64928,0.536355,2.10833,-0.45483
186,2.67257,0.497286,1.90257,-0.315532
187,2.68284,0.467453,2.06033,-0.0155319
188,2.68357,0.466082,2.05529,0.124605
189,2.67777,0.477109,2.05966,-0.106143
190,2.68275,0.467738,2.11273,0.193857
191,2.67276,0.484346,2.20966,0.0929284
192,2.66721,0.491806,2.22361,-0.111062
193,2.67396,0.482984,2.23969,-0.326261
194,2.69419,0.457388,2.07656,-0.332158
195,2.71029,0.428331,1.94416,-0.480635
196,2.72782,0.383579,2.18448,-0.50361
197,2.75682,0.342407,2.43628,-0.415783
198,2.78848,0.315453,2.60361,-0.119055
199,2.7987,0.309353,2.54408,0.179735
